id,name,img,asin,price,mrp,rating,ratingTotal,discount,seller,purl,image_filename
2114,Textured PU Block Pumps Heels,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22940256/2023/4/28/606e9dd6-cb3f-4e6e-b844-004646344a1b1682676895993MastHarbourGold-TonedTexturedPUBlockPumps1.jpg",-,990.0,2200.0,0.0,0,55,Mast & Harbour,https://www.myntra.com/heels/mast--harbour/mast--harbour-gold-toned-textured-pu-block-pumps-heels/22940256/buy,Textured_PU_Block_Pumps_Heels_2113.jpg
2116,Women Cut-Out Croslite Clogs,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/21261382/2023/4/28/33ba51e0-f96a-4977-8c08-0e697545a14e1682679564541-Crocs-Women-Sandals-3461682679564258-1.jpg",-,4995.0,4995.0,0.0,0,0,Crocs,https://www.myntra.com/flip-flops/crocs/crocs-women-solid-croslite-clogs-with-cut-out-detail/21261382/buy,Women_Cut-Out_Croslite_Clogs_2115.jpg
2117,Women Open Toe Flats,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22962370/2023/4/29/594233a6-630b-44b2-8ce8-d586218fad301682771007455AnoukStylishEmbroideredFloralDesignPinkWomenFlats1.jpg",-,1299.0,1299.0,0.0,0,0,Anouk,https://www.myntra.com/flats/anouk/anouk-women-pink-open-toe-flats/22962370/buy,Women_Open_Toe_Flats_2116.jpg
2118,Women Colourblocked Sneakers,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22951422/2023/4/29/8df67794-d3c7-4615-a074-7d46f17696a01682755644590LongwalkWomenWhiteColourblockedSneakers1.jpg",-,679.0,1999.0,0.0,0,66,Longwalk,https://www.myntra.com/casual-shoes/longwalk/longwalk-women-white-colourblocked-sneakers/22951422/buy,Women_Colourblocked_Sneakers_2117.jpg
2119,Buckled Leather Ballerinas,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928372/2023/4/28/bf95e626-2c58-4098-b29b-c686c7903ddc1682660671272DressBerryWomenBlackBallerinasFlats1.jpg",-,2459.0,5999.0,0.0,0,59,DressBerry,https://www.myntra.com/flats/dressberry/dressberry-black-and-gold-toned-buckled-leather-ballerinas/22928372/buy,Buckled_Leather_Ballerinas_2118.jpg
2120,Women Printed Sliders,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935434/2023/4/28/9aa795a0-b309-45bf-bf42-1fc02b893ac41682676441314JUMPLITEPlanetWomenGreyFlipFlop-36Euro1.jpg",-,1299.0,1299.0,0.0,0,0,JUMPLITE,https://www.myntra.com/flip-flops/jumplite/jumplite-women-grey--white-printed-sliders/22935434/buy,Women_Printed_Sliders_2119.jpg
2121,PU Block Pumps,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22940236/2023/4/29/cc92e933-2c71-492c-a4a0-1bf653c246081682742741263MastHarbourCream-ColouredPUBlockPumps1.jpg",-,990.0,2200.0,0.0,0,55,Mast & Harbour,https://www.myntra.com/heels/mast--harbour/mast--harbour-cream-coloured-pu-block-pumps/22940236/buy,PU_Block_Pumps_2120.jpg
2122,Women Perforations Sneakers,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22951450/2023/4/29/03cdd31c-e941-4add-895b-4c764348ce581682757487286LongwalkWomenWhitePerforationsSneakers1.jpg",-,679.0,1999.0,0.0,0,66,Longwalk,https://www.myntra.com/casual-shoes/longwalk/longwalk-women-white-perforations-sneakers/22951450/buy,Women_Perforations_Sneakers_2121.jpg
2123,Textured PU Block Pumps Heels,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22940260/2023/4/28/df25dee3-203f-4587-b740-cd2676a1825d1682676834556MastHarbourCream-ColouredPUBlockSandals1.jpg",-,990.0,2200.0,0.0,0,55,Mast & Harbour,https://www.myntra.com/heels/mast--harbour/mast--harbour-cream-coloured-textured-pu-block-pumps-heels/22940260/buy,Textured_PU_Block_Pumps_Heels_2122.jpg
2124,Women Sneakers,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22951418/2023/4/29/18f5c2fc-f562-4602-90d9-9a90a12bc34d1682757430846LongwalkWomenWhiteSneakers1.jpg",-,679.0,1999.0,0.0,0,66,Longwalk,https://www.myntra.com/casual-shoes/longwalk/longwalk-women-white-sneakers/22951418/buy,Women_Sneakers_2123.jpg
2125,Women Sliders,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935420/2023/4/28/d958b770-97de-4782-aa13-37e98182d78f1682676879391JUMPLITEKittenWomenGreenFlipFlop-36Euro1.jpg",-,1299.0,1299.0,0.0,0,0,JUMPLITE,https://www.myntra.com/flip-flops/jumplite/jumplite-women-green--black-sliders/22935420/buy,Women_Sliders_2124.jpg
2126,Women Open Toe Flats,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22929176/2023/4/28/4379c8fc-8f0e-4b84-a3f1-0bb1d88e88c91682674902430WALKWAYbyMetroWomenBlueOpenToeFlats1.jpg",-,649.0,999.0,0.0,0,35,WALKWAY by Metro,https://www.myntra.com/flats/walkway-by-metro/walkway-by-metro-women-open-toe-flats-with-backstrap-/22929176/buy,Women_Open_Toe_Flats_2125.jpg
2127,Women Open Toe Flats,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22924880/2023/4/27/6b658447-66f5-4694-9b51-9f06495daa281682605489321TruffleCollectionWomenPinkBallerinaswithBucklesFlats1.jpg",-,2399.0,2399.0,0.0,0,0,Truffle Collection,https://www.myntra.com/flats/truffle-collection/truffle-collection-women-two-straps-open-toe-flats-with-buckles/22924880/buy,Women_Open_Toe_Flats_2126.jpg
2128,Women Open Toe Flats,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22929170/2023/4/28/b0ea1f0a-e4b9-4ef4-b47b-d1e76c79031d1682674946359WALKWAYbyMetroWomenBlueOpenToeFlats1.jpg",-,974.0,1499.0,0.0,0,35,WALKWAY by Metro,https://www.myntra.com/flats/walkway-by-metro/walkway-by-metro-women-embellished-open-toe-flats-with-backstrap-/22929170/buy,Women_Open_Toe_Flats_2127.jpg
